"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
Señor de Florida (Patronal,Octubre,18,Amazonas,Bongara,-,-5.8575,-77.79222222,,,
RaymilIacta (Tradicional),Julio,1,Amazonas,Chachapoyas,-,-6.23,-77.87,,,
Señor de Huancas (Patronal),Octubre,18,Amazonas,Chachapoyas,-,-6.23,-77.87,,,
Señor de la Jalea (Patronal),Julio,28,Amazonas,Chachapoyas,La Jaica,-6.48453,-77.81502,,,
Señor de Leymebamba,Julio,29,Amazonas,Chachapoyas,Leymabamba,-6.7075,-77.80387,,,
Señor de utcubamba (patronal),Julio,29,Amazonas,n.d.,-,-6.22,-77.85,,,
Sefior de Lamud (Patronal),Setiembre,12,Amazonas,Luya,Lamud,-6.164652778,-77.94481111,,,
San Francisco (Patronal),Octubre,12,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
San Juan (Patronal),Setiembre,21-27,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
San Juan (patronal),Junio,23-24,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
San Martin (Patronal),Noviembre,13,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
San Pedro (Patronal),Junio,27-30,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
San Santiago (Patronal),Julio,21-25,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
Santa Aaa (Patronal),Julio,25-28,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
Sefior de Mayo (Tradicional),Mayo,2,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
Virgen de la Calendaria (Patronal),Febrero,1-2,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
Virgen de las Mercedes (Patronal),Setiembre,23-27,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
Virgen del Carmen (Patronal),Julio,16-20,Ancash ,Aija,-,-9.76666667,-77.63333333,,,
San Juan Bautista (patronal),Junio,23,Ancash ,Antonio Raimondi,-,-9.133,-77.017,,,
San Miguel (Patronal),Setiembre,24,Ancash ,Antonio Raimondi,-,-9.133,-77.017,,,
San Vicente Ferrer (patronal),Octubre,8,Ancash ,Antonio Raimondi,-,-9.133,-77.017,,,
Virgen de la Asuncion (Patronal),Agosto,14-16,Ancash ,Antonio Raimondi,-,-9.133,-77.017,,,
Virgen de las Mercedes (Patronal),Setiembre,23-27,Ancash ,Antonio Raimondi,-,-9.133,-77.017,,,
Virgen Purisima (Patronal),Octubre,5-21,Ancash ,Antonio Raimondi,-,-9.133,-77.017,,,
Mama Ashu (Patronal),Agosto,12-24,Ancash ,Asuncion,-,-9.159166667,-77.36416667,,,
San Pedro (patronal),Junio,28-30,Ancash ,Bolognesi,-,-10.15,-77.18305556,,,
Santa Rosa (Patronal),Agosto,28,Ancash ,Bolognesi,-,-10.15,-77.18305556,,,
Santa Rosa (Patronal),Agosto,28-30,Ancash ,Bologoesi,-,-10.15,-77.18305556,,,
Semana Santa (Tradicional),Marzo / Abril,*,Ancash ,Bolognesi,-,-10.15,-77.18305556,,,
Todos los Santos (Tradicional),Noviembre,1,Ancash ,Bolognesi,-,-10.15,-77.18305556,,,
Virgen del Rosario (Patronal),Mayo,13,Ancash ,Bolognesi,-,-10.15,-77.18305556,,,
Virgen del Rosario (Patronal),Octubre,20-23,Ancash ,Bolognesi,-,-10.15,-77.18305556,,,
Domingo de Cuasimodo (Patronal),Marzo / Abril,*,Ancash ,Carhuaz,-,-9.281388889,-77.64638889,,,
San Aadres (patronal),Setiembre,22-26,Ancash ,Carhuaz,-,-9.281388889,-77.64638889,,,
San Antonio (Patronal),Setiembre,1,Ancash ,Camuaz,-,-9.281388889,-77.64638889,,,
San Juan (Patronal),Junio,22-26,Ancash ,Camuaz,-,-9.281388889,-77.64638889,,,
San Luis Rey de Francia (Patronal),Agosto,23-27,Ancash ,Cadiuaz,-,-9.281388889,-77.64638889,,,
San Pedro (Patronal),Junio,28-30,Ancash ,Camuaz,-,-9.281388889,-77.64638889,,,
San Santiago (Patronal),Julio,23-28,Ancash ,Camuaz,-,-9.281388889,,,,
Santa Cruz (patronal),Setiembre,15,Ancash ,Camuaz,-,-9.281388889,-77.64638889,,,
Santa Rosa (patronal),Agosto,28-30,Ancash ,Camuaz,-,-9.281388889,-77.64638889,,,
